Energy [GeV],Xsec [pb]
200.0,2467900.0
1000.0,4221500.0
150.0,2106300.0
150.0,2107400.0
1000.0,4210200.0
60.0,1023600.0
120.0,1820800.0
40.0,385550.0
150.0,2087000.0
40.0,657050.0
300.0,3016200.0
50.0,851100.0
50.0,847010.0
50.0,798320.0
40.0,655470.0
70.0,1122900.0
10.0,61025.0
100.0,1588400.0
30.0,454670.0
50.0,848800.0
600.0,3740000.0
180.0,2358500.0
150.0,2057600.0
1000.0,4229500.0
600.0,3789000.0
70.0,1183600.0
400.0,3298300.0
900.0,4136500.0
70.0,1003900.0
70.0,1184200.0
200.0,2445700.0
300.0,3001100.0
70.0,1170000.0
700.0,3887900.0
800.0,3981100.0
400.0,3348000.0
30.0,326270.0
10.0,61552.0
90.0,1463200.0
40.0,651170.0
1000.0,4034600.0
180.0,2333500.0
30.0,455950.0
80.0,1331200.0
120.0,1794200.0
10.0,61574.0
20.0,236970.0
10.0,34771.0
90.0,1474000.0
70.0,1136600.0
50.0,850040.0
10.0,61033.0
900.0,4123100.0
700.0,3888200.0
10.0,61058.0
90.0,1456800.0
60.0,1025300.0
400.0,3338400.0
900.0,4072400.0
50.0,845860.0
60.0,1018000.0
400.0,3340000.0
800.0,4025100.0
800.0,4029800.0
30.0,231630.0
300.0,3022700.0
120.0,1803000.0
20.0,242380.0
80.0,1318900.0
180.0,2353600.0
500.0,3527200.0
500.0,3584800.0
180.0,2347400.0
500.0,3534800.0
900.0,4132400.0
200.0,2483100.0
400.0,3311600.0
800.0,4018100.0
10.0,61277.0
180.0,2318400.0
60.0,586660.0
20.0,242330.0
1000.0,4215400.0
600.0,3772000.0
80.0,1326800.0
60.0,1016900.0
100.0,1596500.0
70.0,1160400.0
400.0,3315500.0
10.0,61422.0
100.0,1594000.0
10.0,61801.0
700.0,3801000.0
150.0,2098800.0
600.0,3755000.0
800.0,3796000.0
180.0,2344800.0
200.0,2468700.0
500.0,3357500.0
200.0,2466500.0
300.0,3005600.0
800.0,4019500.0
50.0,842220.0
180.0,2227500.0
300.0,3006100.0
20.0,198850.0
500.0,3537800.0
1000.0,4094200.0
100.0,1578400.0
200.0,2501700.0
150.0,2119600.0
90.0,1427700.0
600.0,3773600.0
300.0,2942700.0
200.0,2472500.0
700.0,3901200.0
40.0,368140.0
150.0,2098200.0
1000.0,4162400.0
90.0,1467500.0
300.0,3000500.0
70.0,1186100.0
300.0,3020000.0
700.0,3836200.0
300.0,2901900.0
180.0,2328000.0
180.0,2334500.0
90.0,1466000.0
200.0,2461800.0
30.0,454230.0
300.0,2995800.0
70.0,1181700.0
300.0,3005200.0
150.0,2100900.0
500.0,3434100.0
700.0,3926100.0
100.0,1589800.0
70.0,1162800.0
500.0,3549000.0
800.0,4044200.0
800.0,4032400.0
600.0,3723100.0
600.0,3765400.0
10.0,61588.0
100.0,1586300.0
700.0,3894000.0
100.0,1596100.0
120.0,1812200.0
900.0,4109000.0
30.0,450460.0
150.0,2103500.0
10.0,61648.0
100.0,1574700.0
300.0,2988700.0
800.0,4048700.0
90.0,1457500.0
500.0,3587100.0
800.0,3926300.0
10.0,61576.0
40.0,559840.0
150.0,2092400.0
30.0,447810.0
20.0,236510.0
50.0,847770.0
500.0,3576500.0
400.0,3314000.0
600.0,3765200.0
600.0,3744300.0
70.0,1186300.0
900.0,4079300.0
60.0,1019900.0
10.0,61924.0
700.0,3867700.0
70.0,1157500.0
70.0,1181400.0
90.0,1465500.0
800.0,4039400.0
20.0,244490.0
400.0,3352300.0
500.0,3507100.0
70.0,1179800.0
120.0,1811200.0
50.0,846070.0
400.0,3331500.0
700.0,3895000.0
400.0,3314000.0
30.0,451130.0
20.0,241370.0
50.0,849180.0
600.0,3723100.0
200.0,2474700.0
800.0,3982200.0
120.0,1823200.0
1000.0,4182500.0
100.0,1586600.0
180.0,2333700.0
90.0,1446100.0
40.0,641150.0
300.0,3019600.0
600.0,3698300.0
90.0,1456400.0
50.0,829940.0
120.0,1819900.0
900.0,4090800.0
200.0,2439100.0
90.0,1441200.0
200.0,2478500.0
30.0,453990.0
600.0,3734600.0
200.0,2468800.0
120.0,1833300.0
1000.0,4213400.0
50.0,848820.0
700.0,3832500.0
1000.0,4203500.0
90.0,1471000.0
180.0,2349200.0
200.0,2468100.0
600.0,3758000.0
50.0,807440.0
180.0,2230500.0
800.0,4048600.0
60.0,1016600.0
700.0,3868700.0
10.0,61105.0
30.0,453210.0
80.0,1328100.0
20.0,241300.0
100.0,1524100.0
1000.0,4115100.0
400.0,3354200.0
90.0,1464900.0
10.0,45308.0
50.0,820100.0
70.0,1177200.0
80.0,766300.0
180.0,2349800.0
600.0,3688100.0
1000.0,4174400.0
300.0,3003900.0
500.0,3522300.0
20.0,238690.0
600.0,3789400.0
80.0,364190.0
60.0,1024100.0
800.0,3943000.0
200.0,2486700.0
700.0,3876200.0
400.0,3346200.0
900.0,4136200.0
300.0,2970400.0
60.0,1008300.0
900.0,4132300.0
150.0,2080900.0
150.0,2108400.0
1000.0,4207100.0
60.0,605200.0
150.0,2035600.0
100.0,1598700.0
800.0,4038900.0
120.0,1819800.0
90.0,1473700.0
900.0,4136500.0
90.0,1444000.0
100.0,1587500.0
1000.0,4175900.0
